venueIndex,VenueId,Latitude,Longitude,category,visitedNum,categoryId
0,3fd66200f964a52000e71ee3,40.733596,-74.003139,Arts & Entertainment,7,0.0
1,3fd66200f964a52001e81ee3,40.756353,-73.967676,Nightlife Spot,3,4.0
2,3fd66200f964a52002eb1ee3,40.73363,-74.002288,Arts & Entertainment,0,0.0
3,3fd66200f964a52003e51ee3,40.724822,-73.981456,Nightlife Spot,1,4.0
4,3fd66200f964a52003e71ee3,40.739685,-74.00602,Food,25,3.0
5,3fd66200f964a52003e81ee3,40.756119,-73.972532,Nightlife Spot,6,4.0
6,3fd66200f964a52004e41ee3,40.718363,-73.990817,Nightlife Spot,0,4.0
7,3fd66200f964a52004e51ee3,40.722206,-73.98172,Arts & Entertainment,0,0.0
8,3fd66200f964a52004e61ee3,40.722842,-73.994116,Food,6,3.0
9,3fd66200f964a52004e81ee3,40.756048,-73.967762,Nightlife Spot,0,4.0
10,3fd66200f964a52005e41ee3,40.719831,-73.987351,Nightlife Spot,7,4.0
11,3fd66200f964a52005e51ee3,40.724464,-73.99069,Nightlife Spot,0,4.0
12,3fd66200f964a52005e71ee3,40.728473,-74.005318,Nightlife Spot,0,4.0
13,3fd66200f964a52005e81ee3,40.756161,-73.967686,Nightlife Spot,0,4.0
14,3fd66200f964a52005eb1ee3,40.734814,-73.988429,Arts & Entertainment,7,0.0
15,3fd66200f964a52006e61ee3,40.726289,-74.00208,Food,0,3.0
16,3fd66200f964a52006e81ee3,40.741632,-73.978377,Nightlife Spot,3,4.0
17,3fd66200f964a52006e91ee3,40.811205,-73.957782,Food,0,3.0
18,3fd66200f964a52006ea1ee3,40.736162,-74.003476,Food,8,3.0
19,3fd66200f964a52006eb1ee3,40.727987,-73.986254,Food,0,3.0
20,3fd66200f964a52007e61ee3,40.725755,-73.994913,Nightlife Spot,0,4.0
21,3fd66200f964a52007ea1ee3,40.738098,-74.00417,Food,0,3.0
22,3fd66200f964a52008e31ee3,40.721353,-73.95775,Shop & Service,7,8.0
23,3fd66200f964a52008e81ee3,40.761838,-73.965179,Food,10,3.0
24,3fd66200f964a52008e91ee3,40.736781,-73.986845,Drink,0,2.0
25,3fd66200f964a52008eb1ee3,40.783732,-73.950443,Nightlife Spot,0,4.0
26,3fd66200f964a52008f11ee3,40.773006,-73.915915,Nightlife Spot,0,4.0
27,3fd66200f964a52009e61ee3,40.721941,-73.996259,Nightlife Spot,3,4.0
28,3fd66200f964a52009f11ee3,40.747721,-73.891463,Food,0,3.0
29,3fd66200f964a5200ae51ee3,40.726072,-73.983479,Nightlife Spot,2,4.0
30,3fd66200f964a5200ae61ee3,40.729888,-74.000613,Nightlife Spot,3,4.0
31,3fd66200f964a5200ae71ee3,40.73258,-74.00256,Nightlife Spot,0,4.0
32,3fd66200f964a5200ae81ee3,40.755819,-73.969011,Food,2,3.0
33,3fd66200f964a5200ae91ee3,40.757394,-73.993301,Arts & Entertainment,13,0.0
34,3fd66200f964a5200be51ee3,40.722432,-73.986231,Nightlife Spot,3,4.0
35,3fd66200f964a5200ce41ee3,40.718848,-73.992406,Nightlife Spot,0,4.0
36,3fd66200f964a5200ce61ee3,40.726068,-74.001571,Nightlife Spot,6,4.0
37,3fd66200f964a5200ce91ee3,40.785953,-73.976422,Nightlife Spot,0,4.0
38,3fd66200f964a5200de61ee3,40.73002,-74.000544,Nightlife Spot,0,4.0
39,3fd66200f964a5200de71ee3,40.73233,-74.00164,Nightlife Spot,19,4.0
40,3fd66200f964a5200deb1ee3,40.720919,-73.987918,Arts & Entertainment,0,0.0
41,3fd66200f964a5200ee51ee3,40.726974,-73.984047,Nightlife Spot,0,4.0
42,3fd66200f964a5200ee71ee3,40.733027,-74.00296,Food,6,3.0
43,3fd66200f964a5200eea1ee3,40.727771,-74.000337,Food,0,3.0
44,3fd66200f964a5200fe41ee3,40.721111,-73.987861,Arts & Entertainment,6,0.0
45,3fd66200f964a5200fe51ee3,40.7272,-73.979717,Nightlife Spot,0,4.0
46,3fd66200f964a5200fe91ee3,40.747433,-73.993359,Nightlife Spot,1,4.0
47,3fd66200f964a52010e41ee3,40.719649,-73.984607,Food,13,3.0
48,3fd66200f964a52010e51ee3,40.727027,-73.982702,Nightlife Spot,0,4.0
49,3fd66200f964a52010e81ee3,40.758607,-73.974942,Professional & Other Places,4,6.0
50,3fd66200f964a52010ea1ee3,40.731131,-74.002981,Food,2,3.0
