venueIndex,VenueId,Latitude,Longitude,L1_category,visitedNum,categoryId
0,413ba880f964a520111c1fe3,33.641348,-112.117624,Food,0,3
1,413ba880f964a520131c1fe3,33.538693,-112.064192,Food,2,3
2,413ba880f964a5201e1c1fe3,33.448301,-112.071748,Nightlife Spot,10,4
3,413ba880f964a520251b1fe3,33.431538,-112.056023,Food,0,3
4,413ba880f964a5202e1b1fe3,33.509699,-112.061063,Food,1,3
5,413ba880f964a520311b1fe3,33.485847,-112.06903,Food,3,3
6,413ba880f964a5206f1b1fe3,33.496386,-112.083957,Food,0,3
7,413ba880f964a520741b1fe3,33.497727,-112.0741,Nightlife Spot,0,4
8,413ba880f964a520751b1fe3,33.496178,-112.020451,Food,0,3
9,413ba880f964a5208b1b1fe3,33.479787,-112.074087,Food,5,3
10,413ba880f964a5208c1b1fe3,33.451732,-112.069583,Food,0,3
11,413ba880f964a520a11b1fe3,33.612761,-112.012525,Nightlife Spot,0,4
12,413ba880f964a520ae1b1fe3,33.435273,-112.074366,Food,3,3
13,413ba880f964a520b41b1fe3,33.448643,-112.071453,Nightlife Spot,0,4
14,413ba880f964a520b71b1fe3,33.457618,-112.047348,Food,8,3
15,413ba880f964a520c31b1fe3,33.579439,-112.118742,Nightlife Spot,0,4
16,413ba880f964a520c51b1fe3,33.48733,-112.082938,Food,0,3
17,413ba880f964a520d01b1fe3,33.447369,-112.063315,Food,0,3
18,413ba880f964a520d81b1fe3,33.449613,-112.071539,Nightlife Spot,6,4
19,413ba880f964a520db1b1fe3,33.451369,-111.973998,Nightlife Spot,0,4
20,413ba880f964a520e21b1fe3,33.6401,-112.154004,Nightlife Spot,0,4
21,413ba880f964a520ef1b1fe3,33.449168,-112.065654,Food,0,3
22,413ba880f964a520f11a1fe3,33.444806,-112.072225,Nightlife Spot,1,4
23,413ba880f964a520f41b1fe3,33.459813,-112.074223,Nightlife Spot,0,4
24,413ba880f964a520f81a1fe3,33.521742,-112.064617,Nightlife Spot,0,4
25,41463480f964a520b71c1fe3,33.636846,-112.070289,Nightlife Spot,0,4
26,414b7a80f964a520d01c1fe3,33.500469,-112.074053,Drink,18,2
27,42474900f964a52084201fe3,33.608982,-112.161211,College & University,0,1
28,42f6a080f964a520d0261fe3,33.638726,-112.166084,Nightlife Spot,0,4
29,4303cf80f964a52013271fe3,33.602503,-111.983728,Shop & Service,19,8
30,449e9fb9f964a520c0341fe3,33.435624,-112.003066,Travel & Transport,354,9
31,44c8c318f964a520ed351fe3,33.491616,-112.073432,Food,8,3
32,44e09b30f964a520fd361fe3,33.5112,-112.01408,Food,1,3
33,44e0a40bf964a52005371fe3,33.385371,-111.964974,Arts & Entertainment,2,0
34,44e119a0f964a52014371fe3,33.50273,-112.064652,Nightlife Spot,1,4
35,4651c0a2f964a520dd461fe3,33.666747,-112.124298,Drink,0,2
36,46604c34f964a5205f471fe3,33.458692,-112.069473,Arts & Entertainment,4,0
37,466827eaf964a5208c471fe3,33.458228,-112.067767,Nightlife Spot,0,4
38,4729fd2af964a520e94b1fe3,33.545219,-112.043185,Food,0,3
39,472eda7ef964a520094c1fe3,33.445515,-112.066748,Arts & Entertainment,61,0
40,472edc25f964a5200a4c1fe3,33.457457,-112.072349,Food,0,3
41,472f0b7ff964a520104c1fe3,33.448946,-111.955369,Arts & Entertainment,28,0
42,472f0d5df964a520114c1fe3,33.510556,-112.013512,Food,1,3
43,472f0debf964a520124c1fe3,33.453572,-112.069194,Arts & Entertainment,20,0
